ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0058,Party Gameplay,12 Game Board,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/12_game_board_compact_360x800.png,97cc2354bdd6bda46e1f6a3a3e2a92818a1215ba85cd12b0c6ef871872f480c5,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0059,Party Gameplay,13 Text Question,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/13_text_question_compact_360x800.png,a628ae03be654999f52d59514ed9c346a02e654f83ce2c4cbcafb3eefa834f31,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0060,Party Gameplay,14 Image Question,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/14_image_question_compact_360x800.png,a556dfc9a2f3d09b708e126db698159a25b37b8f4527fe9535f90eeea7772792,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0061,Party Gameplay,15 Answer Reveal,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/15_answer_reveal_compact_360x800.png,1e8bec519a32f2d9c304807681e4e5684b3b3850be2d7f548d5fcbafdfc28d8b,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0062,Party Gameplay,16 Final Result,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/16_final_result_compact_360x800.png,4187764782832eb49752839abd618344e2324a006aea6d5e843ac74e32f8122b,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0063,Saved Games & Help,17 How to Play,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/17_how_to_play_compact_360x800.png,f0629e2689309677ecb789c26bf334fafd5c91c016635bf2d6c154b93384776c,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0064,Saved Games & Help,18 Saved Party Games,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/18_saved_games_compact_360x800.png,e9d369fe9175b70406bf2fafcfbcbe4818dc82db6d3875c3ad47dc322e98e010,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0065,Tournament,19 Tournament Hub,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/19_tournament_hub_compact_360x800.png,fdd9c77d7329b496e5784155a3295aa4e2e26d91b7cff37d86d8d5557f4692f0,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0066,Tournament,20 Create Tournament,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/20_create_tournament_compact_360x800.png,6c82155e4f8625bfc19c23e6b0dfdc3349ad295876bcc285e1293dd8cecdfc28,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0067,Tournament,21 Tournament Teams,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/21_tournament_teams_compact_360x800.png,50554e46475f4bb4724689857d90747b3f6cc173bf230371966f31ae7a5147c1,Exact logical-pixel Flutter render; copied losslessly.
