ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0044,Tournament,26 Tournament Match,Active,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/26_tournament_match_active_primary_390x844.png,3ea46afbe5bfc89b4d7b8805df28dcc061dc74067e238f7409d22111b1674a09,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0045,Tournament,27 Tournament Champion,Champion,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/27_tournament_champion_primary_390x844.png,2978e08109a56fccb5c007581fa9b89b6a161b26bd1455b742d22625669bd77f,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0046,Launch & Onboarding,01 Launch,Default,Compact,360,800,1.0,No,No,26_compact/01_launch_compact_360x800.png,614894c0b5845d6a7d815cde3f51555821dec64fb934a9c94c118617ad193890,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0047,Launch & Onboarding,02 Onboarding,Step 1,Compact,360,800,1.0,No,No,26_compact/02_onboarding_step_1_compact_360x800.png,acbe679953c708c5867f3b21a8e09cb07c2a9ab85ddc17a823e21b69ea8a617a,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0048,Launch & Onboarding,02 Onboarding,Step 2,Compact,360,800,1.0,No,No,26_compact/02_onboarding_step_2_compact_360x800.png,97e22310fd45b5e5963388a3acc3039b96019786eed6ff88c7c03af10f4046de,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0049,Launch & Onboarding,02 Onboarding,Step 3,Compact,360,800,1.0,No,No,26_compact/02_onboarding_step_3_compact_360x800.png,3c6f6cdb528018f14aeb143f82009307758e3fb27c7a852e9b2325e406be0510,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0050,Launch & Onboarding,02 Onboarding,Step 4,Compact,360,800,1.0,No,No,26_compact/02_onboarding_step_4_compact_360x800.png,8d364f9f4b078d78d64897fd8195cf7db8effdd2374be077302d2420c65f899d,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0051,Authentication,03 Sign In,Empty,Compact,360,800,1.0,No,No,26_compact/03_sign_in_compact_360x800.png,ef6ed9c066df0eb8da5b9fd60ae51bbee097ee8727b31245542085bb5cf4f916,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0052,Authentication,04 Create Account,Empty,Compact,360,800,1.0,No,No,26_compact/04_create_account_compact_360x800.png,9c91c77724a262697ed10ff6b73da3d1745892a5704efc9c9ae7f0d0647af092,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0053,Home,05 Home,Signed in,Compact,360,800,1.0,No,TEST-ONLY,26_compact/05_home_signed_in_compact_360x800.png,4379db8baab42c38bfb69c3bfefd03231ce7ee06ee4478866c1aca1477737d28,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0054,Categories,06 Category Selection,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/06_category_selection_compact_360x800.png,e7007daaa288c8b7463c05e6f7555981789690f68015703a017455f817903daf,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0055,Categories,07 Category Detail,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/07_category_detail_compact_360x800.png,2182afebcbdd3e763eabdae02a694c6cce7fb5f2e492ede602fcdfc9556f96a2,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0056,Party Setup,08 Team Setup,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/08_team_setup_compact_360x800.png,755a1a5abe166833bfc9dc3e232b1634e524c1c1fb379bf2cd75d26c38f21879,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0057,Party Setup,09 Team Splitter,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/09_team_splitter_compact_360x800.png,fef25539e88aba6aeb1e47a066b6fe4341c6aee1ff459ed7ade2d5f0598e5089,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0058,Party Setup,10 Helpers,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/10_helpers_compact_360x800.png,bfe6637bb631f8bf79402f8ee6be1f4e22a1cad44c2cc39a777d6db8ba74d440,Exact logical-pixel Flutter render; copied losslessly.
